,name,grape,region,variety,rating,notes
445,Leeuwin Estate Art Series Cabernet Sauvignon 2005,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"The wine has a deep garnet color. Intense varietal Cabernet Sauvignon aromas of blackberry, blackcurrant, plum and licorice lift from the glass to greet the nose and is underpinned by the beautifully integrated French oak aromas. The palate is intense, linear and elegant. Blackcurrant and licorice flavors linger in the mouth to produce an incredibly long finish. The fine backbone of acidity displayed by this wine and the ultra fine tannins suggest a vintage of Art Series Cabernet Sauvignon with great aging potential."
446,Leeuwin Estate Art Series Cabernet Sauvignon 2006,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"Intense varietal Cabernet Sauvignon aromas of striking blackcurrants and cherries combining with aromatics of fragrant violets, bay leaf, anise, clove dried tobacco, and pencil-like oak. A balanced palate exhibits plump dark forest fruits. Dried sage, coffee bean, slight char and anise rise to a finish which is characterized by structural cocoa powderlike tannins."
447,Leeuwin Estate Art Series Cabernet Sauvignon 2007,,"Margaret River, Western Australia, Australia",Red Wine,91.0,"The bouquet is vibrant with a concentrated fruit profile of abundant blackcurrant, dark cherries and mulberry. Beneath the lifted aromatics of anise, cocoa, clove, black olive and earthy wild field mushroom provide elegant layers to a highly expressive and complex nose. "
448,Leeuwin Estate Art Series Cabernet Sauvignon 2008,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"The bouquet is a marriage of classical Cabernet characters of cherries and blackcurrants. Bay leaf, dried sage, anise and roasted coffee bean aromas add depth on the nose. A gentle entry leads to a generously textured mid palate, finishing fine, with long and silky tannins. Classical blackcurrant and cherry fruits meet with dusty well integrated oak. Subtleties of cloves, anise and cumin seed are also woven throughout the palate.  "
449,Leeuwin Estate Art Series Cabernet Sauvignon 2009,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"The bouquet is vibrant with a concentrated fruit profile of abundant blackcurrant, dark cherries and mulberry. Lifted savory and earthy aromatics provide elegant layers to a highly expressive and complex nose. On the palate, a dark fruit core of blackcurrant and forest fruits lead into more savory spices of dried sage, cassia bark, and tobacco. All components arrive to a finish, which is featured by slightly chalky cocoa powder-like tannins."
450,Leeuwin Estate Art Series Cabernet Sauvignon 2010,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"A concentrated and rich bouquet of ripe blackcurrants and juicy black cherries. Underlying bay leaf, fresh tobacco, anise, clove and cumin enhances the nose with varietal lift and complexity, while floral nuances of lavender and violets add perfume and fragrance. An intense and well-appointed palate. Ripe currants and black forest fruits are abundant, with textures and layers that fold and intertwine. Dustiness, anise and cocoa characters complement the fruit, which is aligned with a lively acid structure, leading to a seamless tannin profile."
451,Leeuwin Estate Art Series Cabernet Sauvignon 2011,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"A concentrated dark fruit spectrum with an abundance of ripe blackcurrants, cherries and a hint of cassis. Coffee bean, dark chocolate and black olives lie beneath. Subtle dustiness combines with a seductive violet lift, enhancing the varietal fragrance and increasing complexity. A dense and layered palate with incredible texture. The generosity of the palate is carefully laced with a fine and structural acid line. Dark cherries and currants weave through smokey and mocha notes, finishing with long tactile tannins."
452,Leeuwin Estate Art Series Cabernet Sauvignon 2013,,"Margaret River, Western Australia, Australia",Red Wine,92.0,The “Art Series” represents Leeuwin’s most opulent & ageworthy wines from each vintage. They are identified with paintings commissioned from leading contemporary Australian artists.
453,Leeuwin Estate Art Series Cabernet Sauvignon 2012,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"Dark ruby red with a black core. Vibrant and concentrated fruit aroma of abundant blackcurrant, dark cherries, and mulberry. Beneath the lifted aromatics of anise, cocoa, clove, black olive and earthy wild field mushroom provide elegant layers to a highly expressive and complex nose. Structure and fruit weight work harmoniously on the palate, characterized by a dark fruit core of blackcurrant and forest fruits. Savoury spices of dried sage, cassia bark, and tobacco gives subtle texture and combines with diligent oak integration and a fine acid line. All components arrive to a finish featuring slightly chalky cocoa powder-like tannins."
454,Leeuwin Estate Art Series Cabernet Sauvignon 2015,,"Margaret River, Western Australia, Australia",Red Wine,92.0,"The ""Art Series"" represents Leeuwin’s most opulent and age worthy wines from each vintage. They are identified with paintings commissioned from leading contemporary Australian artists."
455,Leeuwin Estate Art Series Chardonnay 1998,,"Margaret River, Western Australia, Australia",White Wine,94.0,The colour is bright straw yellow with hints of lime green.
456,Leeuwin Estate Art Series Chardonnay 2000,,"Margaret River, Western Australia, Australia",White Wine,93.0,"Lifted intensity of the typical aromas of pears, the scent of dried figs, together with hints of spice and nutmeg, fragrant and sweet submerging any hint of oak.  "
457,Leeuwin Estate Art Series Chardonnay 1999,,"Margaret River, Western Australia, Australia",White Wine,95.0,"Lifted intensity of the typical aromas of pears, the scent of dried figs, together with hints of spice and nutmeg, fragrant and sweet submerging any hint of oak.  "
458,Leeuwin Estate Art Series Chardonnay 2002,,"Margaret River, Western Australia, Australia",White Wine,96.0,
459,Leeuwin Estate Art Series Chardonnay 2003,,"Margaret River, Western Australia, Australia",White Wine,94.0,The colour is bright straw with lime green hues.
460,Leeuwin Estate Art Series Chardonnay 2004,,"Margaret River, Western Australia, Australia",White Wine,91.0,"The complex nose is typical Leeuwin, with lifted aromas of dried pear and ripe peach accompanied by hints of cashews and integrated French oak.  This finely balanced bouquet is the result of low-yielding vines, premium quality oak and gentle winemaking techniques to preserve the richness of the fruit.   "
461,Leeuwin Estate Art Series Chardonnay 2001,,"Margaret River, Western Australia, Australia",White Wine,98.0,Number 24 on
462,Leeuwin Estate Art Series Chardonnay 2005,,"Margaret River, Western Australia, Australia",White Wine,94.0,"The color is a brilliant green straw. The fresh nose is classic Leeuwin Estate Chardonnay, with intensely lifted aromas of ripe yellow pear skins, the petals of citrus blossom, nectarine and ripe peach accompanied by hints of fig and cashews from barrel maturation on yeast lees with integrated charry French oak. These flavours combine into a finely balanced bouquet; the result of very low yielding vines matched with subtle winemaking to preserve the richness of the fruit.  "
463,Leeuwin Estate Art Series Chardonnay 2006,,"Margaret River, Western Australia, Australia",White Wine,91.0,The colour is brilliant and youthful green straw.
464,Leeuwin Estate Art Series Chardonnay 2007,,"Margaret River, Western Australia, Australia",White Wine,93.0,"The fresh nose has lifted aromas of ripe yellow pear skins, the petals of citrus blossom, nectarineand ripe peach accompanied by hints of fig, cashews and roasted pine nuts from barrel maturationon yeast lees with integrated and stylish French oak. The rich, full bodied palate displays themouth filling and intense flavors of fresh ripe pears intermingling with delicious stone fruitflavors, nectarine and pineapple tart. The middle palate shows richness before turning to anelegance only found in the rarest of years that focus the flavors to a long land persistent finishwhich is both crisp and appealing."
465,Leeuwin Estate Art Series Chardonnay 2010,,"Margaret River, Western Australia, Australia",White Wine,93.0,"A deceptively complex and incredibly youthful nose that features cut pear, fresh quince and lemon blossom. A savoury line is also evident with sesame brittle, cinnamon stick, rice wafer and hints of cornmeal. On the palate, woven layers of intense white fleshed fruits, diligent oak handling and effortless texture meet seamlessly and are driven by a mineral saline acid spine. Pears, grapefruit and white nectarine are the key fruits of the palate, which is focused with remarkable length and possesses amazing longevity."
466,Leeuwin Estate Art Series Chardonnay 2011,,"Margaret River, Western Australia, Australia",White Wine,92.0,#5
467,Leeuwin Estate Art Series Chardonnay 2013,,"Margaret River, Western Australia, Australia",White Wine,93.0,"A concentrated and vibrant aroma, highlighted by lime curd, juicy pears and lemon flesh in the foreground. Beneath lies subtle complexities of a cinnamon quill, black cardamom, amongst toasted hazelnuts and pecans. An open, textural and layered entry continues to a youthful and fine palate with laced acidity and a seamless finish. Cut limes, pears, and white peach dominate the palate, woven with savory almonds, sweet spice, and seamless elegant length."
468,Leeuwin Estate Art Series Chardonnay 2009,,"Margaret River, Western Australia, Australia",White Wine,93.0,"A vibrant and expressive nose, characterized by a classical fruit profile of Nashi pear, lime curd, ripe white peach and quince. Nuances of flint and sweet cinnamon feature in the background.   "
469,Leeuwin Estate Art Series Chardonnay 2012,,"Margaret River, Western Australia, Australia",White Wine,92.0,#76
470,Leeuwin Estate Art Series Chardonnay 2014,,"Margaret River, Western Australia, Australia",White Wine,94.0,"A pristine and lifted nose highlighted by Nashi pears, limes, white peach and fig. The primary fruits are complimented by nutmeg, cinnamon, almonds and sesame that creates subtle complexity. The palate has concentration with clarity and purity. An introduction of grapefruit and pear lead to a delicately textured, layered and woven palate with nougat, anise and cashews present. There is immense length that finishes with a fine acid line and mineral finish."
471,Leeuwin Estate Art Series Chardonnay 2008,,"Margaret River, Western Australia, Australia",White Wine,93.0,"An incredibly complex and lifted bouquet of ripe golden pear skin, peach, savory toasted ground almonds and white nectarine. This wine is showing multiple layers of fruit and subtle class driven French oak. The result of very low yielding vines matched with subtle winemaking preserves the richness and intensity of fruit. The palate displays a full bodied vibrant wine on the entry, with a creaminess and intense purity of fruit. Pear, nectarine and peaches are the main fruit flavors followed by a subtle sweet spice and almonds. The flavors are seamlessly long with a wonderful natural acid finish."
472,Leeuwin Estate Art Series Riesling 2001,,"Margaret River, Western Australia, Australia",White Wine,90.0,The colour is straw with hints of green.
473,Leeuwin Estate Art Series Riesling 2006,,"Margaret River, Western Australia, Australia",White Wine,95.0,"A wine of brilliant clarity. Color is a very pale straw with green tinges. The nose shows lifted aromas of citrus blossom, honeysuckle, and lime mixed with a mineral edge, which are indicators of an excellent wine. Displaying classic Riesling flavors of lemon and lime, the palate enjoys great intensity and depth of flavor. The exceptional length finishes with a clean and crisp acidity. This style of wine particularly lends itself to be enjoyed with freshly shucked oysters and Asian dishes."
474,Leeuwin Estate Art Series Riesling 2004,,"Margaret River, Western Australia, Australia",White Wine,90.0,"A very well balanced and dry palate, finishing clean and long with lingering sweet citrus fruit, but delicate in structure. Superb drinking now, but with medium ageing potential. An ideal accompaniment to seafood dishes."
475,Leeuwin Estate Art Series Riesling 2008,,"Margaret River, Western Australia, Australia",White Wine,90.0,"Pale straw color in color, the nose offers an array of bright citrus fruits with a cooling mineral blast and lifted jasmine notes. The palate delivers intensity and focus, the classic Rieslings flavors of lime, grapefruit and crisp apple showing both purity and persistence. The finish is typically dry with clean, crisp acidity."
476,Leeuwin Estate Art Series Riesling 2010,,"Margaret River, Western Australia, Australia",White Wine,90.0,"The 2010 Riesling has bright straw green in color, with concentrated aromas of freshly cut limes, jasmine and subtle sweet spice on the nose. The palate displays ripe grapefruit, citrus and musk flavors, merging into strong lime intensity on the finish. Held together by a core of crisp acidity, the finish is typically dry and clean."
477,Leeuwin Estate Art Series Riesling 2002,,"Margaret River, Western Australia, Australia",White Wine,90.0,The colour is straw with hints of green.
478,Leeuwin Estate Art Series Riesling 2011,,"Margaret River, Western Australia, Australia",White Wine,90.0,"This Riesling has bright straw green in color, with concentrated aromas of freshly cut limes, jasmine and subtle sweet spice on the nose. The palate displays ripe grapefruit, citrus and musk flavors, merging into strong lime intensity on the finish. Held together by a core of crisp acidity, the finish is typically dry and clean."
479,Leeuwin Estate Art Series Riesling 2012,,"Margaret River, Western Australia, Australia",White Wine,91.0,"The bouquet shows fragrant and bright notes of lime blossom and cut lemon greet the nose, and are met with underlying hints of kaffir lime leaf and subtle spice. The palate is taut and focused offering lively lemon curd, lime pith and floral notes. Racy acidity defines the palate and provides great drive. These elements are woven together with a mineral finish.   "
480,Leeuwin Estate Art Series Riesling 2013,,"Margaret River, Western Australia, Australia",White Wine,91.0,"Freshly cut limes, lemon sorbet and hints of Granny Smith apples combine with pronounced floral notes, hints of sweet spice and fragrant kaffir lime leaf. The palate is taut and fine with bursting Tahitian lime and lemon pith. Lively and racy acid underpins the palate throughout. Mineral and flint characters make this vintage one of Leeuwin's finest."
481,Leeuwin Estate Art Series Riesling 2014,,"Margaret River, Western Australia, Australia",White Wine,90.0,"Freshly cut limes, lemon sorbet and hints of Granny Smith apples combine with pronounced floral notes, hints of sweet spice and fragrant kaffir lime leaf. The palate is taut and fine with bursting Tahitian lime and lemon pith. Lively and racy acid underpins the palate throughout."
482,Leeuwin Estate Art Series Riesling 2015,,"Margaret River, Western Australia, Australia",White Wine,90.0,"Bright straw green in color. The 2015 Riesling exhibits concentrated aromas of citrus blossom, sweet spice, musk and subtle perfume of golden delicious apples. The palate reveals incredible freshness with soft lingering flavors of freshly cut Australian finger limes, crisp granny smith and jasmine spice which are balanced and fine, the delicate natural acidity drives the pallet into a persistent mineral finish."
483,Leeuwin Estate Art Series Shiraz 1999,,"Margaret River, Western Australia, Australia",Red Wine,88.0,"The color is plum purple with an almost black core.  This very weighty wine shows a powerful garden of strongly lifted spices and flowery aromas, never oaky but purely fruit derived lifting over the sturdy underlying character of red fruits; plums and ripe cherries tightly packed but with excellent potential.  The palate is a forward, mouth filling mix of red fruits and plums, seamed and supported by a very subtle tannic backbone.  The spiciness lingers in the mouth.  This wine will grow and become more complex with age, in good cellars conditions. "
484,Leeuwin Estate Art Series Shiraz 2000,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"The color is plum purple with an almost black core.  This very weighty wine shows a powerful garden of strongly lifted spices and flowery aromas, never oaky but purely fruit derived lifting over the sturdy underlying character of red fruits; plums and ripe cherries tightly packed but with excellent potential.  The palate is a forward, mouth filling mix of red fruits and plums, seamed and supported by a very subtle tannic backbone.  The spiciness lingers in the mouth.  This wine will grow and become more complex with age, in good cellars conditions. "
485,Leeuwin Estate Art Series Shiraz 2007,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"The color is a deep violet with brilliant purple edges. The bouquet displays lifted fresh cracked pepper with sweet ripe blackberry, plums and mulberries, with hints of chocolate and dusty oak. "
486,Leeuwin Estate Art Series Shiraz 2009,,"Margaret River, Western Australia, Australia",Red Wine,91.0,"A dark cherry color with crimson hue.  A lifted bouquet of bright red cherries, currants and blood plums complemented with complex star anise and clove.  Beneath, the nose is well supported with dusty oak and hints of aromatic violets and lavender.  The palate is vibrant and expressive with subtle texture featuring red cherries and boysenberry.  Diligent handling of oak exudes savory notes of slight char combined with delicate cinnamon and nutmeg.  A fine, yet balanced acidity line draws together all components leading to a finish that is both structural and complementary. "
487,Leeuwin Estate Art Series Shiraz 2010,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"Fragrant and concentrated, the nose is defined by a dark fruit spectrum of forest fruits, cherries and mulberries in the forefront, with complementary layers of anise, cloves and savory oak in the background. Violets, mocha notes, toasted brulee and hints of fresh camphor provides further substance to this classical and complex Shiraz. A bright and lively entry features blood plums, mulberries and dark chocolate. The palate shows great intensity, while displaying elegance and sophistication. A textured and layered mid-palate leads to structural chalky tannins, with a fine yet balanced natural acid line."
488,Leeuwin Estate Art Series Shiraz 2012,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"Fragrant and lifted, the nose has density of fruit, balanced heightened floral notes, with complex spice and oak. Mulberries and blueberries feature with violets and rose petals. Asian five spice, caramel, vanilla bean and cocoa sit in the background. A finely woven palate that leads to opulent texture through the middle, finishing with generous length and carefully tuned tannins. Again, mulberries and blueberries are the key fruits, which are met with structural oak giving direction and carry. All elements are threaded with a bright and balanced line."
489,Leeuwin Estate Art Series Shiraz 2011,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"A compote of blueberries, Satsuma plums and mulberries, laced with lifted violets, ground pepper, mocha, anise and Asian five spice. A textured palate showing great depth and intensity, it is laden with plums, dark cherries and mulberries. Subtle nuances of cocoa, cinnamon and vanilla pod are threaded throughout the palate. The palate has immense length and persistence, with definition highlighted by a silky and long tannin structure."
490,Leeuwin Estate Art Series Shiraz 2013,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"An amazing display of blue berries, blackberries, anise, dark chocolate and a subtle gaminess. This concentrated and inky bouquet also has highlights of violets and sweet caramel. The palate shows the same intensity as the nose with a layered concentration of flavours on the entry with depth and persistent nuances of dense blackberry underpinned by light roasted coffee beans and dark forest fruits. Elegant French oak and peppery fine tannins elongate the length of this wine delivering a long and lingering finish."
491,Leeuwin Estate Art Series Shiraz 2014,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"Concentrated blueberries, mulberries and plums give density to a nose that also exhibits black cardamom, anise caramel and hickory. There is subtle lift with rose petals and violets offering further fragrance. Black and blue fruits dominate the palate with upfront weight and texture. Woven fruit layers meet subtle smokey oak creating a layered palate, laced with a finely balanced acid line."
492,Leeuwin Estate Margaret River Riesling 2000,,"Margaret River, Western Australia, Australia",White Wine,88.0,Color is medium straw with green tinges. At this stage the wine shows strong floral aromas reminiscent of orange blossoms with hints of apricot. The later picking resulted in a more full flavored palate than normal but is dry and well balanced with a clean acid finish. Served chilled it is an ideal accompaniment to seafood and salads.
493,Leeuwin Estate Margaret River Riesling 1999,,"Margaret River, Western Australia, Australia",White Wine,90.0,Color is medium straw with green tinges. At this stage the wine shows strong floral aromas reminiscent of orange blossoms with hints of apricot. The later picking resulted in a more full flavored palate than normal but is dry and well balanced with a clean acid finish. Served chilled it is an ideal accompaniment to seafood and salads.
494,Leeuwin Estate Prelude Cabernet Merlot (stained label) 1997,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"The color is ruby plum with purplish edges. The initial impact of the aromas is sweet fruit - black currant predominant with hints of leather and good rich autumn notes. In the background, though once perceived, never forgotten, is that distinctive cabernet note of slightly dusty berries. Oak does not play a large role in this wine except to build a structure on which the various fruit flavors"
495,Leeuwin Estate Prelude Vineyards Cabernet Sauvignon 2013,,"Margaret River, Western Australia, Australia",Red Wine,90.0,"A lifted, concentrated and layered nose with blackcurrant, red cherry, and boysenberry notes. Fragrant violet, clove, anise, cassia bark and black cardamom aromas sit suitably in the background. The palate is vibrant and tightly coiled revealing cassis, cocoa and finely tuned oak notes. Subtle spice, underlying char and roasted coffee bean characters offer delicate complexity. Laced acidity with silky ripe tannins provides both length and balance."
496,Leeuwin Estate Prelude Vineyards Cabernet Sauvignon 2014,,"Margaret River, Western Australia, Australia",Red Wine,92.0,"A seductive and perfumed nose with red cherries and Satsuma plums combining with violets, lavender and bay leaf. Beneath, subtle notes of star anise, cinnamon quill and nutmeg offer complexity. Delicate with gentle layers and powdery tannins, the palate has vibrancy, displaying a red fruit spectrum. Bright acidity creates a defined line through the palate. Cracked coffee bean and cacao are present on the mid-palate, along with a graphite/mineral thread. "
497,Leeuwin Estate Prelude Vineyards Chardonnay 2001,,"Margaret River, Western Australia, Australia",White Wine,91.0,"The color is a brilliant pale yellow with tints of green. The nose shows freshly cut yellow-fleshed peaches with some underlying subtle barrel fermentation characters. The palate is rich and full, though tightly structured, showing a combination of poached stone fruit and sweet grapefruit flavors. The wine will develop over the years and the flavors will meld into a soft, clearly varietal Margaret River chardonnay. Ideal to accompany fish and shellfish or any full flavored white meat."
498,Leeuwin Estate Prelude Vineyards Chardonnay 2000,,"Margaret River, Western Australia, Australia",White Wine,90.0,"The color is a brilliant pale yellow with tints of green. The nose shows freshly cut yellow-fleshed peaches with some underlying subtle barrel fermentation characters. The palate is rich and full, though tightly structured, showing a combination of poached stone fruit and sweet grapefruit flavors. The wine will develop over the years and the flavors will meld into a soft, clearly varietal Margaret River chardonnay. Ideal to accompany fish and shellfish or any full flavored white meat."
499,Leeuwin Estate Prelude Vineyards Chardonnay 2004,,"Margaret River, Western Australia, Australia",White Wine,91.0,"Color is transparent light straw with flashes of bright green. The initial aromas are intense and lifted with perfumes of white peach, nectarine/stone fruit backed by the wonderful pungency of citrus flowers. Although fermented in oak there is only an underpinning whisper of it present in the bouquet. The palate is up front with fruit showing a predominance of pears and citrus. It has weight, but with true elegance and softness. It finishes with a sense of depth and an aftertaste of nuttiness, tempered with fruit."
500,Leeuwin Estate Prelude Vineyards Chardonnay 2003,,"Margaret River, Western Australia, Australia",White Wine,91.0,"The color is a brilliant pale yellow with tints of green. The nose shows freshly cut yellow-fleshed peaches with some underlying subtle barrel fermentation characters. The palate is rich and full, though tightly structured, showing a combination of poached stone fruit and sweet grapefruit flavors. The wine will develop over the years and the flavors will meld into a soft, clearly varietal Margaret River chardonnay. Ideal to accompany fish and shellfish or any full flavored white meat."
501,Leeuwin Estate Prelude Vineyards Chardonnay 2006,,"Margaret River, Western Australia, Australia",White Wine,90.0,"Color is straw green, bright and almost luminous. This wine displays lifted pristine Margaret River Chardonnay fruit typical of the Leeuwin vineyard. The well integrated bouquet has ripe pear skin, figs, and nutty cashews. The subtle integration of French oak provides vanilla notes to this perfumed Chardonnay. Medium in weight, due to the cool ripening period the wine displays deceptive length and mouth filling structure.  "
502,Leeuwin Estate Prelude Vineyards Chardonnay 2007,,"Margaret River, Western Australia, Australia",White Wine,90.0,"Color is straw green, bright and almost luminous. This wine displays lifted pristine Margaret River Chardonnay fruit typical of the Leeuwin vineyard. The well integrated bouquet has ripe pear skin, figs, and nutty cashews. The subtle integration of French oak provides vanilla notes to this perfumed Chardonnay. Medium in weight, due to the cool ripening period the wine displays deceptive length and mouth filling structure. The palate shows fresh and vibrant pears, tangy grapefruit and peaches, with the balanced citrus acid giving the wine a delicious elegance and youthfulness. An excellent vintage for Leeuwin Estate Chardonnay, this wine will lend itself to cellaring for a number of years.  "
503,Leeuwin Estate Prelude Vineyards Chardonnay 1999,,"Margaret River, Western Australia, Australia",White Wine,90.0,"The color is a brilliant pale yellow with tints of green. The nose shows freshly cut yellow-fleshed peaches with some underlying subtle barrel fermentation characters. The palate is rich and full, though tightly structured, showing a combination of poached stone fruit and sweet grapefruit flavors. The wine will develop over the years and the flavors will meld into a soft, clearly varietal Margaret River chardonnay. Ideal to accompany fish and shellfish or any full flavored white meat."
504,Leeuwin Estate Prelude Vineyards Chardonnay 2009,,"Margaret River, Western Australia, Australia",White Wine,90.0,"The nose is vibrant and concentrated with aromas of pear, hand picked peach and lime. Beneath lie layers of lemon curd and fig. Lifted frangipani, subtle cinnamon and peanut brittle provide further complexity. The palate is delicately textured with pear, ruby grapefruit and white peach. Hints of wild honey and cashew add complexity to a palate which exudes balanced weight and persistent length. An excellent vintage of Prelude Vineyards Chardonnay from Leeuwin Estate.  "
505,Leeuwin Estate Prelude Vineyards Chardonnay 2010,,"Margaret River, Western Australia, Australia",White Wine,90.0,"The nose has aromas of beurre bosc, fresh lime wedge and ripe fig. Layers of complexity appear with blanched hazelnuts, sweet cinnamon, and apricots. The palate is defined by a fruit spectrum of pear, lime curd and lemon zest. Its liveliness is highlighted with a pronounced, yet very fine acid structure, which tightens and directs the texture and fruit concentration. Subtle cinnamon and lemongrass provide further complexity."
506,Leeuwin Estate Prelude Vineyards Chardonnay 2011,,"Margaret River, Western Australia, Australia",White Wine,91.0,"A complex and layered palate and features a delicate lemon, pear and lime fruit spectrum at the forefront. Tight and focused, woven together by a pristine natural acid line. Mealy notes, gunflint and subtleties of nougat, fragrant jasmine and sweet spice provide breadth to an elegant nose. Delicately textured with vibrant grapefruit and freshly cut lime, width and complexity enhanced by fluffy nougat notes. A classical wine frm an outstanding vintage."
507,Leeuwin Estate Prelude Vineyards Chardonnay 2012,,"Margaret River, Western Australia, Australia",White Wine,91.0,"Cut limes, ripe nashi pears and white peaches greet the nose, amidst aromas of fresh nougat, honeycomb, brioche and rice wafers. Savory lemon rind, figs and quince create complexity, while oak derived toasted hazelnuts and cinnamon spice is diligently incorporated to enhance the balance. The palate is tight and defined, characterized by fresh lime, white nectarine and pears. Luscious texture delivers balanced depth and breadth to the palate. Oatmeal, nutmeg and subtle oak char lie in the background, with all components brought together with a taut and refreshing acid line."
508,Leeuwin Estate Prelude Vineyards Chardonnay 2013,,"Margaret River, Western Australia, Australia",White Wine,90.0,"Delicate and restrained, the nose exhibits nashi pear, cut limes and white peach; interwovenlayers of sesame, pecans, wheat biscuits and nougat, nurtures the primary fruits. Heightenedfloral notes of jasmine and lemon blossom lifts the nose giving fragrance, purity and subtlecomplexity. The palate is directed and focused; symmetry aligns around lemon, grapefruitand pear skin, through creamy oak, blanched almonds and sweet spice, leading to a finishthat is hallmarked by bright natural acidity with incredible length and persistence."
509,Leeuwin Estate Prelude Vineyards Chardonnay 2014,,"Margaret River, Western Australia, Australia",White Wine,90.0,"An elegant, vibrant and fragrant nose with lemon, lime, and pear in the foreground. Notes of peach blossom and subtle jasmine create lift and combine with cardamom pod, almond meal, and roasted cashew. The palate has immense purity, with power and persistence. Lime and lemon pith define the palate, which carries through to a delicately layered middle, threaded with a fine mineral spine. Sesame seed and blanched almonds enhance complexity, finishing with a sparkling acid structure. This wine has energy in its youth, and will build texture with cellaring."
510,Leeuwin Estate Prelude Vineyards Chardonnay 2015,,"Margaret River, Western Australia, Australia",White Wine,90.0,"The nose is bright and concentrated with subtle complexity, featuring lime, golden pear and white peach. Aromatic sweet spices of cinnamon and nutmeg with deeper tones of sesame, cashew and nougat provide depth and layers. Elevated jasmine floral notes enhance the purity and varietal expression. Definitively modern Leeuwin Estate Chardonnay; the palate exudes vibrancy with delicate textures. The intensity of pear, lime and lemon across the palate is threaded with a finite acid spine that is laced with spice and savoury notes, leading to a seamless and elegant finish."
511,Leeuwin Estate Prelude Vineyards Chardonnay 2018,,"Margaret River, Western Australia, Australia",White Wine,91.0,"The jasmine, frangipani, chamomile, and cardamom meet with the classical pear, lime, and lemon fruit spectrum in this fantastic wine. "
512,Leeuwin Estate Prelude Vineyards Chardonnay 2016,,"Margaret River, Western Australia, Australia",White Wine,90.0,"Heightened with notes of jasmine, frangipani and lemon blossom. Nuances of nougat,cashew and toasted almonds combine with brioche, brulee and mealy notes lying beneath.The palate is bright, well weighted with volume and presence, whilst maintaining focusand definition. Pink grapefruit, white nectarine and baked apple feature with diligent oakand subtle texture. The layered and contoured mid palate is finely checked with mineralacid thread."
513,Leeuwin Estate Siblings Sauvignon Blanc 2018,,"Margaret River, Western Australia, Australia",White Wine,89.0,"Fragrant and energetic, the nose has an abundance of lychee, kiwifruit and blackcurrant with lime curd and lemon sherbet. Thai basil, sliced fennel, gingerand citrus blossom sit neatly in the background. A gentle entry leads to a delicatelytextured mid palate. Bursting lemon, lime and grapefruit dominate throughout withbright acidity, a slightly savory line and a talc-like finish. "
514,Leeuwin Estate Siblings Sauvignon Blanc Semillon 1999,,"Margaret River, Western Australia, Australia",White Wine,85.0,A youthful straw green colour.
515,Leeuwin Estate Siblings Sauvignon Blanc Semillon 2002,,"Margaret River, Western Australia, Australia",White Wine,91.0,A youthful straw green colour.
516,Leeuwin Estate Siblings Sauvignon Blanc Semillon 2004,,"Margaret River, Western Australia, Australia",White Wine,90.0,"Blend: Sauvignon Blanc (52%), Semillon (48%) "
517,Leeuwin Estate Siblings Sauvignon Blanc Semillon 2011,,"Margaret River, Western Australia, Australia",White Wine,89.0,"The intensity of the bouquet is dominated by lemon floral notes supported with lime, regionally picked green peas and green melon. The palate has a fascinating textural component that shows layered complexity from the barrel fermented portion of the blend."
518,Leeuwin Estate Siblings Sauvignon Blanc Semillon 2014,,"Margaret River, Western Australia, Australia",White Wine,90.0,"Bright and aromatic, the nose features finger limes, lemon flesh, guava and black pastilles. A savory thread is also present highlighted by nougat, cardamom and nettles. The palate is tight with subtle texture led by lemon and grapefruits. Hints of spice through the middle, combines with bright and integrated acidity. "
519,Leeuwin Estate Siblings Sauvignon Blanc Semillon 2015,,"Margaret River, Western Australia, Australia",White Wine,90.0,"Bright and floral with a myriad of primary fruits, that features white peach, green melon, just plucked passionfruit, lime zest, and lemon curd. Nuances of a touch of nettle, vanilla and cardamom pod create both depth and complexity. Finely focused, the palate opens to a soft and supple middle and is underpinned by a taught and fresh finish. Layers of lemon, lime, guava, fig, quince and green apple feature throughout with delicate floral and savory notes laced between. Overall a youthful and vibrant blend."
520,Leeuwin Estate Siblings Sauvignon Blanc Semillon 2016,,"Margaret River, Western Australia, Australia",White Wine,89.0,"Bright and lifted with bursting lime, lemon zest and guava. Subtleties of jasmine, lemongrass, fennel bulb and coriander seed lie in the background. An elegant palate offers diligent texture through the middle, with a finely directed acid spine. Lemon features with finger lime, grapefruit and hints of lychee, whilst savoury notes of blanched almonds and anise offer complexity. "
